Genes;PT186rna;T15NFREE;T45NFREE;NFREE;TENDNFREE;T15NH4;T45NH4;NH4;TENDNH4;T15NO2;T45NO2;TENDNO2;T15NO3;T45NO3;NO3SPIKE;TENDNO3;PT3OVvsPT3OVrna;Pt8Tc-Pt8TcRNAseq;PTCRvsPTCRrna;Total
Phatr3_J15806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_J16302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Phatr3_J16375;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;13
Phatr3_J18808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Phatr3_J19333;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J20143;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J21207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J22274;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;7
Phatr3_J22739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J23639;0;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;9
Phatr3_J23646;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;15
Phatr3_J25000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Phatr3_J32139;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J32144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J32311;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J32597;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;0;12
Phatr3_J32849;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;7
Phatr3_J33150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J33478;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J33874;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J34196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
Phatr3_J34371;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J34522;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
